id	rate
48401	3
48417	3
48429	3
48459	3
48461	3
49033	3
50001	3
50019	3
50023	3
51035	3
51087	3
51107	3
51109	3
51121	3
51135	3
51161	3
51173	3
51193	3
51195	3
51710	3
53007	3
53025	3
53031	3
53035	3
53053	3
53057	3
53067	3
53077	3
54005	3
54007	3
54035	3
54069	3
54071	3
54089	3
54097	3
55071	3
55115	3
1003	2
1009	2
1025	2
1037	2
1053	2
1063	2
1095	2
2013	2
2016	2
2100	2
2130	2
5003	2
5007	2
5023	2
5029	2
5039	2
5045	2
5069	2
5107	2
6009	2
6039	2
6075	2
6095	2
8023	2
8029	2
8031	2
8035	2
8057	2
8073	2
8095	2
12039	2
12055	2
12067	2
12071	2
12101	2
13009	2
13013	2
13025	2
13033	2
13049	2
13051	2
13071	2
13087	2
13131	2
13179	2
13219	2
13251	2
13257	2
13267	2
13295	2
13301	2
13303	2
13313	2
13317	2
16005	2
16079	2
17011	2
17063	2
17069	2
17075	2
17123	2
17141	2
17159	2
17177	2
17189	2
18023	2
18047	2
18059	2
18067	2
18075	2
18083	2
18105	2
18139	2
18165	2
18179	2
19007	2
19009	2
19025	2
19033	2
19035	2
19037	2
19067	2
19069	2
19073	2
19075	2
19079	2
19119	2
19121	2
19143	2
19149	2
19151	2
19157	2
19159	2
19161	2
19165	2
19179	2
19187	2
19191	2
20015	2
20039	2
20045	2
20073	2
20077	2
20105	2
20117	2
20147	2
